NCBI_CBS6556	Uniprot_DMKU3_1042	Gene_name_DMKU3_1042	standard_A	standard_B	standard_C	high_temp_A	high_temp_B	high_temp_C	low_pH_A	low_pH_B	low_pH_C	osmotic_stress_A	osmotic_stress_B	osmotic_stress_C
KMXK_0G01880	W0TK04	KLMA_80178	7.232083983	7.094475281	6.941747432	6.967688549	6.726388575	6.733475803	6.986352434	7.051883583	7.187082644	7.076780466	6.940672721	7.029150767
KMXK_0E03510	W0TDW1	KLMA_50347	6.876260574	6.716224943	6.841014618	6.885352416	6.974502055	6.83161579	6.702164425	6.830267527	6.590157884	6.876688674	6.926519181	6.907656962
KMXK_0D04170	W0TE95	KLMA_40395	7.032396712	6.911637281	6.886792534	6.85294929	6.229018832	6.495783544	6.932769373	6.834706955	6.959606402	6.683217973	6.870018969	6.776953134
KMXK_0A07830	W0T4E1	KLMA_10069	7.116953946	6.934940994	6.689074728	7.071002065	7.430494825	7.481397183	7.214524003	7.318117217	6.86787222	6.883510863	6.736878096	6.899263753
KMXK_0F01010	W0TFA2	KLMA_60462	6.91283555	7.198648593	6.868144029	7.054220273	6.895278557	6.772254948	7.211844072	7.345404914	7.127372611	6.793654795	6.422391235	6.967242786
KMXK_0H03080	W0TH59	KLMA_70308	7.145017699	7.115386766	7.127487515	7.123516984	6.951642425	6.985506841	7.272918786	7.139919788	6.836828735	7.356214999	7.240781216	7.259061006
KMXK_0A07140	W0T2G6	KLMA_10140	6.959322189	7.356088823	6.813327772	7.080228061	7.352270816	7.093612444	7.268845556	7.426239503	6.991582433	6.878158665	6.647685832	6.835288054
KMXK_0D05140	W0TAS9	KLMA_40491	7.585059524	7.588882185	7.821733936	7.52367731	7.2660277	7.567636438	7.510630438	7.381139337	7.730727697	7.547996388	7.253321	7.334786001
KMXK_0H03540	W0THB0	KLMA_70358	7.760560621	7.767536841	8.006970932	7.681090014	7.762503795	7.431593649	7.499601851	7.786972308	7.553941085	7.944485957	7.86950957	7.896372165
KMXK_0E04990	W0TGA0	KLMA_50495	7.279016811	7.410069947	7.375378506	7.831093524	7.319567896	7.627457204	7.629825574	7.323470987	7.553170292	7.116817757	7.286319011	7.169995521
KMXK_0C00310	W0TB78	KLMA_30029	7.045408908	6.896022524	6.983685583	6.888929953	6.346714518	6.340618284	6.867427576	6.828348826	7.13465204	6.703366706	6.891605734	6.723709243
KMXK_0G03840	W0TIN4	KLMA_80380	6.34968571	6.794886892	6.431438902	6.387325469	6.4726559	NA	6.644059291	6.904337144	6.68472045	6.648746801	6.633138593	6.572958456
KMXK_0G03770	W0TKI2	KLMA_80373	7.094451987	6.989061184	7.22933951	7.174758959	7.145493025	7.266728102	7.09298162	7.024373538	6.965996316	7.312482917	7.215468515	7.161119766
