genes,direction
CENPK1137D_4413,down
CENPK1137D_2000,up
CENPK1137D_3670,down
CENPK1137D_2360,up
CENPK1137D_2475,up
CENPK1137D_5121,down
CENPK1137D_1321,down
CENPK1137D_722,down
CENPK1137D_5079,down
CENPK1137D_2693,up
CENPK1137D_2816,down
CENPK1137D_2854,down
CENPK1137D_285,down
CENPK1137D_3929,down
CENPK1137D_2153,up
CENPK1137D_1639,up
CENPK1137D_535,down
CENPK1137D_1055,down
CENPK1137D_2416,up
CENPK1137D_4723,down
CENPK1137D_3532,down
CENPK1137D_3350,up
CENPK1137D_3821,down
CENPK1137D_334,down
CENPK1137D_5191,down
CENPK1137D_3854,up
CENPK1137D_3339,up
CENPK1137D_3765,up
CENPK1137D_4894,down
CENPK1137D_1473,down
CENPK1137D_1025,up
CENPK1137D_1049,down
CENPK1137D_1405,down
CENPK1137D_3625,down
CENPK1137D_3495,down
CENPK1137D_4761,down
CENPK1137D_632,down
CENPK1137D_672,down
CENPK1137D_5440,up
CENPK1137D_3076,up
CENPK1137D_2182,up
CENPK1137D_4953,down
CENPK1137D_1523,down
CENPK1137D_5284,down
CENPK1137D_5039,up
CENPK1137D_2409,down
CENPK1137D_1819,down
CENPK1137D_342,down
CENPK1137D_1776,down
CENPK1137D_257,down
CENPK1137D_785,down
CENPK1137D_2101,down
CENPK1137D_3109,up
CENPK1137D_2326,down
CENPK1137D_665,down
CENPK1137D_2915,down
CENPK1137D_4361,down
CENPK1137D_2331,up
