Geneid,Std_1,Std_2,Std_3,Doc_1,Doc_2,Doc_3
KMXK_0A05090,2767,3203,4080,4411,3824,3461
KMXK_0A05100,3745,4144,4576,5175,4799,4368
KMXK_0A05110,1581,1640,1828,2113,1979,1830
KMXK_0A05120,1697,1935,2080,2149,2073,1875
KMXK_0A05130,728,714,695,631,546,487
KMXK_0A05140,27001,33553,34799,39184,36576,31309
KMXK_0A05150,2390,2117,2484,3069,2927,2659
KMXK_0A05160,8282,10566,11683,14263,11001,10273
KMXK_0A05170,0,2,0,4,2,0
KMXK_0A05180,1391,1444,1452,1302,1167,814
KMXK_0A05190,586,577,624,777,637,521
KMXK_0A05200,564,882,782,740,713,620
KMXK_0A05210,1028,1103,1290,1463,1389,1251
KMXK_0A05220,637,860,1306,2304,2555,2618
KMXK_0A05230,14531,13403,16804,22381,20943,20471
KMXK_0A05240,5298,4777,5601,7075,6705,6245
KMXK_0A05250,90,61,96,121,95,85
KMXK_0A05260,3085,3592,3963,4108,3621,3371
KMXK_0A05270,11655,12886,15171,16830,15144,14156
KMXK_0A05280,2305,1986,1987,1771,1368,1139
